company_name,domain,website_url,category,subcategory,description,year_founded,hq_city,hq_state,hq_country,founders,current_ceo,employee_range,funding_status,parent_company,linkedin_url,twitter_handle,instagram_handle,facebook_handle,phone,generic_email,email_pattern,status,notes
Gopuff,gopuff.com,https://www.gopuff.com,On-Demand Delivery,Convenience,Instant delivery (snacks/groceries/prepared),2013,Philadelphia,PA,USA,"Yakir Gola; Rafael Ilishayev","Yakir Gola; Rafael Ilishayev",5000+,Private (Series H),Independent,https://www.linkedin.com/company/gopuff,@gopuff,@gopuff,@gopuff,855-400-7833,help@gopuff.com,first.last@gopuff.com,Active,
Real Good Foods,realgoodfoods.com,https://www.realgoodfoods.com,Frozen Meals,Low-Carb,Frozen low-carb high-protein meals (DTC + retail),2016,Cherry Hill,NJ,USA,Bryan Freeman,Bryan Freeman,200-500,Public (NASDAQ: RGF),Independent,https://www.linkedin.com/company/real-good-foods,@RealGoodFoods,@realgoodfoods,@RealGoodFoods,856-477-0660,info@realgoodfoods.com,first.last@realgoodfoods.com,Active,
Cuisine Solutions,cuisinesolutions.com,https://www.cuisinesolutions.com,Frozen Meals,Sous-Vide,Sous-vide prepared meals (B2B + DTC via Chef Cuisine),1972,Sterling,VA,USA,Jean-Louis Vilgrain,Felipe Hasselmann,1000-5000,Private,Vilgrain family,https://www.linkedin.com/company/cuisine-solutions,@cuisinesolutions,@cuisinesolutions,@cuisinesolutions,703-270-2900,info@cuisinesolutions.com,first.last@cuisinesolutions.com,Active,
Sweetgreen,sweetgreen.com,https://www.sweetgreen.com,Restaurant Delivery,Direct,Healthy salad/bowl chain with native ordering and delivery,2007,Los Angeles,CA,USA,"Nicolas Jammet; Nathaniel Ru; Jonathan Neman",Jonathan Neman,5000+,Public (NYSE: SG),Independent,https://www.linkedin.com/company/sweetgreen,@sweetgreen,@sweetgreen,@sweetgreen,323-990-6789,care@sweetgreen.com,first.last@sweetgreen.com,Active,
Cava,cava.com,https://cava.com,Restaurant Delivery,Direct,Mediterranean fast-casual with native delivery,2006,Washington,DC,USA,"Ted Xenohristos; Ike Grigoropoulos; Dimitri Moshovitis",Brett Schulman,5000+,Public (NYSE: CAVA),Independent,https://www.linkedin.com/company/cava-mezze-grill,@cava,@cava,@cavagrill,202-499-5117,help@cava.com,first.last@cava.com,Active,
Fitlife Foods,fitlifefoods.com,https://www.fitlifefoods.com,Prepared Meal,Healthy,Fresh prepared healthy meals (Florida focus),2011,Tampa,FL,USA,David Osterweil,David Osterweil,50-200,Private,Independent,https://www.linkedin.com/company/fitlife-foods,@FitlifeFoods,@fitlifefoods,@FitlifeFoods,813-902-9925,info@fitlifefoods.com,first.last@fitlifefoods.com,Active,
Performance Kitchen,performancekitchen.com,https://www.performancekitchen.com,Prepared Meal,Medically-Tailored,Medically-tailored frozen meals,2018,Charlottesville,VA,USA,Trip Pomeroy,Trip Pomeroy,20-50,Private,Independent,https://www.linkedin.com/company/performance-kitchen,@perfkitchen,@performancekitchen,@performancekitchen,N/A,hello@performancekitchen.com,first@performancekitchen.com,Active,
Power Meals of New York,powermealsofnewyork.com,https://powermealsofnewyork.com,Prepared Meal,Fitness,NYC-region fitness meal delivery,2010,Brooklyn,NY,USA,Stacey Murabito,Stacey Murabito,20-50,Private,Independent,https://www.linkedin.com/company/power-meals-of-new-york,@powermealsofny,@powermealsofnewyork,@powermealsofnewyork,718-989-1717,info@powermealsofnewyork.com,first@powermealsofnewyork.com,Active,
Macros Inc,macrosmealprep.com,https://www.macrosmealprep.com,Prepared Meal,Macro,Custom macro-based prepared meals,2016,Pewaukee,WI,USA,Brett Heisler,Brett Heisler,20-50,Private,Independent,https://www.linkedin.com/company/macros-inc,@macrosinc,@macrosinc,@macrosinc,800-381-4126,support@macrosmealprep.com,first@macrosmealprep.com,Active,
Eat to Evolve,eattoevolve.com,https://www.eattoevolve.com,Prepared Meal,Macro/Athletic,High-protein macro-balanced meals,2017,Charlotte,NC,USA,"Daniel Garrett; Jay Carter",Daniel Garrett,20-50,Private,Independent,https://www.linkedin.com/company/eat-to-evolve,@eattoevolve,@eattoevolve,@eattoevolve,704-323-9991,info@eattoevolve.com,first@eattoevolve.com,Active,
Fresh Meal Plan,freshmealplan.com,https://freshmealplan.com,Prepared Meal,Healthy,Chef-prepared healthy meals,2010,Pompano Beach,FL,USA,Jeff Witt,Jeff Witt,50-100,Private,Independent,https://www.linkedin.com/company/fresh-meal-plan,@freshmealplan,@freshmealplan,@freshmealplan,855-415-7777,info@freshmealplan.com,first@freshmealplan.com,Active,
Caveman Chefs,cavemanchefs.com,https://www.cavemanchefs.com,Prepared Meal,Paleo,Paleo prepared meals,2012,Denver,CO,USA,"Jared Cohee; Brian Hubbard",Jared Cohee,20-50,Private,Independent,https://www.linkedin.com/company/caveman-chefs,@cavemanchefs,@cavemanchefs,@cavemanchefs,720-535-3676,info@cavemanchefs.com,first@cavemanchefs.com,Active,
Modest Meals,modestmeals.com,https://www.modestmeals.com,Prepared Meal,Fitness,Macro-friendly affordable meals,2017,Sunrise,FL,USA,Jordan Marciano,Jordan Marciano,20-50,Private,Independent,https://www.linkedin.com/company/modest-meals,@modestmeals,@modestmeals,@modestmeals,N/A,info@modestmeals.com,first@modestmeals.com,Active,
Flexpro Meals,flexpromeals.com,https://www.flexpromeals.com,Prepared Meal,Fitness,High-protein meals,2016,Lenexa,KS,USA,Cliff McKenzie,Cliff McKenzie,50-100,Private,Independent,https://www.linkedin.com/company/flexpro-meals,@flexpromeals,@flexpromeals,@flexpromeals,888-616-3835,info@flexpromeals.com,first@flexpromeals.com,Active,
MyFitFoods,myfitfoods.com,https://www.myfitfoods.com,Prepared Meal,Healthy/Retail,Fresh prepared meals (retail + delivery; Texas focus),2009,Austin,TX,USA,Mario Mendias,Cary Albert,200-500,Private,Independent,https://www.linkedin.com/company/my-fit-foods,@myfitfoods,@myfitfoods,@myfitfoods,512-628-2700,info@myfitfoods.com,first.last@myfitfoods.com,Active,
PlateJoy,platejoy.com,https://www.platejoy.com,Meal Planning,Subscription,Personalized meal plan + grocery list (delivery via partners),2012,San Francisco,CA,USA,Christina Bognet,Christina Bognet,20-50,Acquired (2021),Hims & Hers Health,https://www.linkedin.com/company/platejoy,@platejoy,@platejoy,@platejoy,N/A,help@platejoy.com,first@platejoy.com,Active,
Eatology,eatologyusa.com,https://www.eatologyusa.com,Prepared Meal,Healthy,Chef-prepared meal plans (multi-region),2014,Miami,FL,USA,Eatology team,N/A,20-50,Private,Independent,https://www.linkedin.com/company/eatology,N/A,@eatologyusa,@eatologyusa,N/A,info@eatologyusa.com,first@eatologyusa.com,Active,
Eat Purely,eatpurely.com,N/A,Prepared Meal,Premium,On-demand healthy meals (Chicago),2014,Chicago,IL,USA,Andrew Olson,N/A,0,Defunct (2019),Independent,https://www.linkedin.com/company/eatpurely,@eatpurely,@eatpurely,@eatpurely,N/A,N/A,N/A,Defunct,Closed 2019
Spoon Rocket,spoonrocket.com,N/A,Prepared Meal,On-Demand,On-demand $6 meals,2013,Berkeley,CA,USA,"Anson Tsui; Steven Hsiao",N/A,0,Defunct (2016),Independent,https://www.linkedin.com/company/spoonrocket,@spoonrocket,@spoonrocket,@spoonrocket,N/A,N/A,N/A,Defunct,Closed 2016
Maple,trymaple.com,N/A,Prepared Meal,On-Demand,On-demand lunch/dinner (NYC),2014,New York,NY,USA,"Caleb Merkl; Akshay Navle",N/A,0,Defunct (2017),Independent,https://www.linkedin.com/company/maple,@trymaple,@trymaple,@trymaple,N/A,N/A,N/A,Defunct,Closed 2017
Bento,bento.com,N/A,Prepared Meal,On-Demand,On-demand bento boxes,2013,San Francisco,CA,USA,Jason Demant,N/A,0,Defunct (2017),Independent,https://www.linkedin.com/company/bento,@bento,@bento,@bento,N/A,N/A,N/A,Defunct,Closed 2017
Galley Foods,galleyfoods.com,N/A,Prepared Meal,On-Demand,On-demand chef-prepared meals,2014,Washington,DC,USA,"Ian Costello; Doug Schroeder",N/A,0,Defunct (2017),Independent,https://www.linkedin.com/company/galley-foods,@galleyfoods,@galleyfoods,@galleyfoods,N/A,N/A,N/A,Defunct,Closed 2017
Workweek Lunch,workweeklunch.com,https://workweeklunch.com,Meal Planning,Subscription,Subscription meal plans (no physical delivery),2015,Chicago,IL,USA,Talia Koren,Talia Koren,5-20,Private,Independent,https://www.linkedin.com/company/workweek-lunch,@workweeklunch,@workweeklunch,@workweeklunch,N/A,hello@workweeklunch.com,first@workweeklunch.com,Active,
The Lazy Vegan,thelazyvegan.com,https://thelazyvegan.com,Prepared Meal,Vegan,Vegan prepared meals,2017,Miami,FL,USA,Justin Burke,Justin Burke,10-50,Private,Independent,https://www.linkedin.com/company/the-lazy-vegan,@thelazyvegan,@thelazyveganmiami,@thelazyveganmiami,305-925-0809,info@thelazyvegan.com,first@thelazyvegan.com,Active,
Allset,allset.com,N/A,Restaurant Delivery,Reservations,Reserve+order ahead at restaurants,2015,San Francisco,CA,USA,"Stas Matviyenko; Anna Polishchuk",N/A,0,Defunct (2024),Independent,https://www.linkedin.com/company/allset,@allsetnow,@allset,@allsetnow,N/A,N/A,N/A,Defunct,
Ritual,ritual.co,N/A,Restaurant Delivery,Order-Ahead,Order-ahead for pickup,2014,Toronto,Canada,USA,"Ray Reddy; Larry Stinson; Robert Kim",N/A,0,Defunct US 2022,Independent,https://www.linkedin.com/company/ritualco,@ritualco,@ritualco,@ritualco,N/A,N/A,N/A,Defunct,Canadian; US ops ended
Saucey,saucey.com,https://saucey.com,On-Demand Delivery,Alcohol+Snacks,Alcohol and snack on-demand,2013,Los Angeles,CA,USA,"Chris Vaughn; Andrew Zeck; Daniel Leeb",Chris Vaughn,50-200,Private,Independent,https://www.linkedin.com/company/saucey,@saucey,@saucey,@saucey,N/A,help@saucey.com,first@saucey.com,Active,
Verb Energy,verbenergy.co,https://www.verbenergy.co,DTC Food,Caffeine Bars,Caffeinated energy bars subscription,2017,New Haven,CT,USA,"Bennett Byerley; Mo Gulamali",Bennett Byerley,20-50,Private (Seed/A),Independent,https://www.linkedin.com/company/verb-energy,@verbenergy,@verbenergy,@verbenergy,N/A,hello@verbenergy.co,first@verbenergy.co,Active,
Magic Spoon,magicspoon.com,https://magicspoon.com,DTC Food,Cereal,High-protein low-carb cereal subscription,2019,New York,NY,USA,"Greg Sewitz; Gabi Lewis",Gabi Lewis,20-50,Private (Series A),Independent,https://www.linkedin.com/company/magic-spoon,@magicspoon,@magicspoon,@magicspoon,N/A,hello@magicspoon.com,first@magicspoon.com,Active,
GrubMarket,grubmarket.com,https://www.grubmarket.com,Grocery Delivery,B2B+DTC,B2B food supply + DTC delivery,2014,San Francisco,CA,USA,Mike Xu,Mike Xu,1000-5000,Private (Series H),Independent,https://www.linkedin.com/company/grubmarket,@grubmarket,@grubmarket,@grubmarket,650-409-2050,help@grubmarket.com,first.last@grubmarket.com,Active,Acquired Good Eggs 2024
DoorDash DashPass,doordash.com,https://www.doordash.com/dashpass,Subscription,Membership,DoorDash subscription service,2018,San Francisco,CA,USA,DoorDash team,Tony Xu,N/A,Subsidiary,DoorDash,https://www.linkedin.com/company/doordash,@DoorDash,@doordash,@doordash,855-973-1040,dashpass@doordash.com,first.last@doordash.com,Active,Sub-brand of DoorDash
Snackpass,snackpass.co,https://www.snackpass.co,Restaurant Tech,Order-Ahead,Group-ordering pickup app for college campuses,2017,New York,NY,USA,"Kevin Tan; Jamie Marshall; Jonathan Cameron",Kevin Tan,50-200,Private (Series B),Independent,https://www.linkedin.com/company/snackpass,@snackpass,@snackpass,@snackpass,N/A,hello@snackpass.co,first@snackpass.co,Active,
Cluster Truck,clustertruck.com,https://clustertruck.com,Restaurant Delivery,Ghost Kitchen,Ghost kitchen multi-brand delivery,2015,Indianapolis,IN,USA,Chris Baggott,Chris Baggott,200-500,Private,Independent,https://www.linkedin.com/company/clustertruck,@clustertruck,@clustertruck,@clustertruck,317-820-2400,info@clustertruck.com,first@clustertruck.com,Active,
Reef Technology,reeftechnology.com,https://www.reeftechnology.com,Ghost Kitchen,Multi-Brand,Mobile ghost kitchens and parking-based delivery,2013,Miami,FL,USA,"Ari Ojalvo; Jonathan Reichental",Carl Segal,1000-5000,Private (Series D),Independent,https://www.linkedin.com/company/reef-technology,@REEFtechnology,@reeftechnology,@reeftechnology,N/A,info@reeftechnology.com,first.last@reeftechnology.com,Active,
Kitchen United,kitchenunited.com,https://kitchenunited.com,Ghost Kitchen,Multi-Brand,Shared kitchen and delivery infrastructure,2017,Pasadena,CA,USA,Jim Collins,Atul Sood,100-500,Private (Series C),Independent,https://www.linkedin.com/company/kitchen-united,@kitchenunited,@kitchen.united,@kitchenunited,626-507-3322,hello@kitchenunited.com,first@kitchenunited.com,Active,
CloudKitchens,cloudkitchens.com,https://www.cloudkitchens.com,Ghost Kitchen,Multi-Brand,Ghost kitchen real estate (Travis Kalanick),2016,Los Angeles,CA,USA,Travis Kalanick,Travis Kalanick,500-1000,Private,City Storage Systems,https://www.linkedin.com/company/css-industries,@cloudkitchens,@cloudkitchens,@cloudkitchens,N/A,info@cloudkitchens.com,first@cloudkitchens.com,Active,
Ezcater,ezcater.com,https://www.ezcater.com,Catering Delivery,B2B,Business catering marketplace,2007,Boston,MA,USA,"Stefania Mallett; Briscoe Rodgers",Diane Swint,500-1000,Private (Series E),Independent,https://www.linkedin.com/company/ezcater,@ezcater,@ezcater,@ezcater,800-488-1803,help@ezcater.com,first.last@ezcater.com,Active,
Sharebite,sharebite.com,https://www.sharebite.com,Catering Delivery,B2B,Corporate meal benefits platform,2015,New York,NY,USA,"Mohsin Memon; Dilip Rao",Mohsin Memon,50-200,Private (Series A),Independent,https://www.linkedin.com/company/sharebite,@sharebite,@sharebite,@sharebite,N/A,hello@sharebite.com,first@sharebite.com,Active,
Forkable,forkable.com,https://www.forkable.com,Catering Delivery,B2B,AI-powered corporate lunch,2014,San Francisco,CA,USA,"Andrew Bryk; Justin Joffe",Andrew Bryk,50-100,Private (Series A),Independent,https://www.linkedin.com/company/forkable,@forkable,@forkable,@forkable,888-995-9897,hello@forkable.com,first@forkable.com,Active,
Hungry,tryhungry.com,https://www.tryhungry.com,Catering Delivery,B2B,Chef-driven corporate catering,2016,Arlington,VA,USA,"Jeff Grass; Eman Pahlavani; Sam Sirikul",Jeff Grass,100-500,Private (Series C),Independent,https://www.linkedin.com/company/hungrymarketplace,@tryhungry,@tryhungry,@tryhungry,202-422-5666,hello@tryhungry.com,first@tryhungry.com,Active,
Fooda,fooda.com,https://www.fooda.com,Catering Delivery,B2B,Workplace dining marketplace,2011,Chicago,IL,USA,"Orazio Buzza; Eric Von Wolffersdorff",Orazio Buzza,200-500,Private,Independent,https://www.linkedin.com/company/fooda,@fooda,@fooda,@fooda,888-743-7714,info@fooda.com,first.last@fooda.com,Active,
ZeroCater,zerocater.com,https://zerocater.com,Catering Delivery,B2B,Workplace meal program,2009,San Francisco,CA,USA,Arram Sabeti,Cory Mosunic,50-200,Private,Independent,https://www.linkedin.com/company/zerocater,@zerocater,@zerocater,@zerocater,888-559-3115,hello@zerocater.com,first@zerocater.com,Active,
